Date,Stock Price,Q_1,Q_2,Q_3,Q_4,CQ2_Stock_Price,CQ4_Stock_Price,CQ2_CQ4_Seasonality_Ratio,CQ2_CQ4_Label_Daily,Prev_Q4_Stock_Price,CQ2_PQ4_Seasonality_Ratio,CQ2_PQ4_Label_Daily
2019-12-31,55.35,0,0,0,1,42.12,55.35,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-01,55.35,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-02,54.99,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-03,54.69,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-04,54.69,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-05,54.69,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-06,54.67,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-07,54.25,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-08,54.35,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-09,55.34,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-10,55.53,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-11,55.53,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-12,55.53,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-13,56.13,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-14,56.0,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-15,56.7,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-16,56.82,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-17,56.94,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-18,56.94,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-19,56.94,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-20,56.94,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-21,57.17,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-22,57.61,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-23,57.83,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-24,57.68,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-25,57.68,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-26,57.68,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-27,57.48,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-28,57.01,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-29,57.01,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-30,58.86,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-01-31,58.4,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-01,58.4,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-02,58.4,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-03,58.58,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-04,58.84,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-05,58.85,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-06,58.99,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-07,59.19,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-08,59.19,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-09,59.19,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-10,59.75,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-11,59.59,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-12,59.41,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-13,59.61,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-14,59.95,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-15,59.95,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-16,59.95,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-17,59.95,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-18,59.53,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-19,59.77,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-20,59.72,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-21,60.13,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-22,60.13,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-23,60.13,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-24,58.65,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-25,57.82,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-26,57.6,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-27,54.93,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
2020-02-28,53.49,1,0,0,0,42.12,49.18,0.8564457096380642,SELL,55.35,0.7609756097560975,BUY
